epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63663,1.33361,3.29423,1.53209,0.27845,0.34177,0.30464,0.20071,0.9913,2.0411,1.3612,0.0748,0.0028,0.0028
2,13.2486,1.08491,1.57125,1.33731,0.6879,0.3377,0.40851,0.28937,0.97893,1.751,1.2985,0.0486436,0.00564357,0.00564357
3,20.6554,1.01489,1.16161,1.26918,0.69359,0.4738,0.54041,0.40539,0.89031,1.20517,1.2007,0.0224297,0.00842972,0.00842972
4,28.0586,0.97534,0.97295,1.20865,0.66083,0.55159,0.62192,0.48156,0.89045,1.11384,1.19662,0.009703,0.009703,0.009703
5,34.2354,0.90312,0.89695,1.15461,0.6362,0.52537,0.54909,0.42219,0.94394,1.26758,1.23005,0.009604,0.009604,0.009604
6,40.5165,0.91499,0.84555,1.14976,0.5369,0.77975,0.75209,0.58946,0.85786,0.89239,1.14777,0.009505,0.009505,0.009505
7,46.5307,0.93213,0.8278,1.1901,0.63832,0.69301,0.7058,0.55021,0.854,0.91872,1.13269,0.009406,0.009406,0.009406
8,53.5034,0.94017,0.80436,1.18483,0.62447,0.63545,0.67899,0.52919,0.87343,1.02951,1.15369,0.009307,0.009307,0.009307
9,59.9159,0.88777,0.77392,1.14084,0.70631,0.58021,0.64479,0.50196,0.86323,1.00175,1.13442,0.009208,0.009208,0.009208
10,66.3222,0.88175,0.77146,1.11355,0.79216,0.62164,0.72842,0.54275,0.83308,0.87522,1.11427,0.009109,0.009109,0.009109
11,73.9289,0.87006,0.74337,1.12822,0.77236,0.63652,0.7798,0.58593,0.81836,0.89823,1.13314,0.00901,0.00901,0.00901
12,79.9788,0.8724,0.71289,1.12717,0.78842,0.73001,0.78356,0.60428,0.82458,0.74707,1.11551,0.008911,0.008911,0.008911
13,86.1443,0.8432,0.70023,1.12402,0.7376,0.67356,0.75632,0.6057,0.80855,0.77439,1.09599,0.008812,0.008812,0.008812
14,93.0268,0.84218,0.70083,1.10774,0.69272,0.77933,0.82397,0.64573,0.82513,0.74927,1.09599,0.008713,0.008713,0.008713
15,98.7217,0.80553,0.65017,1.08054,0.8182,0.74265,0.83424,0.68763,0.79221,0.676,1.09507,0.008614,0.008614,0.008614
16,105.05,0.86195,0.69534,1.1227,0.79407,0.72404,0.76426,0.60802,0.87914,0.74687,1.12978,0.008515,0.008515,0.008515
17,112.33,0.83111,0.62062,1.10184,0.84825,0.68228,0.81815,0.65122,0.80232,0.7369,1.09605,0.008416,0.008416,0.008416
18,118.298,0.80693,0.62133,1.09339,0.81256,0.65661,0.7468,0.59426,0.81311,0.8033,1.12132,0.008317,0.008317,0.008317
19,123.692,0.80225,0.63256,1.09401,0.70249,0.7274,0.75375,0.60599,0.76444,0.76209,1.09312,0.008218,0.008218,0.008218
20,130.946,0.77503,0.58241,1.07243,0.6574,0.83164,0.81403,0.66772,0.7708,0.67021,1.08839,0.008119,0.008119,0.008119
21,137.183,0.78412,0.58003,1.08433,0.81523,0.79076,0.85208,0.69454,0.7701,0.64916,1.07547,0.00802,0.00802,0.00802
22,144.046,0.78355,0.58207,1.08621,0.78774,0.84058,0.85035,0.68746,0.75038,0.64285,1.0689,0.007921,0.007921,0.007921
23,150.097,0.74607,0.56334,1.0628,0.7168,0.85525,0.83998,0.67708,0.71497,0.63342,1.035,0.007822,0.007822,0.007822
24,156.153,0.77575,0.5768,1.08052,0.74531,0.78578,0.8315,0.6429,0.78202,0.68927,1.08796,0.007723,0.007723,0.007723
25,162.851,0.76884,0.57801,1.08226,0.79397,0.72868,0.8408,0.6754,0.79507,0.68436,1.09981,0.007624,0.007624,0.007624
26,168.918,0.74933,0.5731,1.06578,0.69441,0.90356,0.87372,0.68571,0.7618,0.61903,1.07008,0.007525,0.007525,0.007525
27,175.515,0.73215,0.56596,1.03912,0.74012,0.84092,0.89623,0.72701,0.75178,0.58358,1.06755,0.007426,0.007426,0.007426
28,182.031,0.71894,0.52977,1.04796,0.78551,0.84203,0.80962,0.66386,0.76378,0.60142,1.07202,0.007327,0.007327,0.007327
29,188.3,0.74914,0.54868,1.05674,0.74947,0.73483,0.81807,0.68165,0.72557,0.59709,1.0486,0.007228,0.007228,0.007228
30,195.145,0.74417,0.55994,1.04883,0.86864,0.73445,0.83461,0.69218,0.7224,0.62149,1.05436,0.007129,0.007129,0.007129
31,201.966,0.74019,0.5425,1.06032,0.80886,0.80073,0.86667,0.69223,0.76769,0.63725,1.07402,0.00703,0.00703,0.00703
32,208.184,0.72015,0.53515,1.04901,0.87853,0.70303,0.80145,0.67187,0.74482,0.6247,1.05749,0.006931,0.006931,0.006931
33,214.401,0.72371,0.50316,1.04961,0.80919,0.80816,0.88951,0.70025,0.72442,0.58493,1.05394,0.006832,0.006832,0.006832
34,221.186,0.70843,0.5153,1.03185,0.90045,0.74295,0.79769,0.65369,0.71677,0.63097,1.04503,0.006733,0.006733,0.006733
35,227.121,0.70122,0.52057,1.02977,0.82185,0.74092,0.8335,0.69295,0.71579,0.62233,1.04591,0.006634,0.006634,0.006634
36,234.134,0.68206,0.50324,1.0188,0.76385,0.81971,0.83432,0.67063,0.72175,0.59929,1.05295,0.006535,0.006535,0.006535
37,240.847,0.71504,0.5243,1.0463,0.75045,0.83469,0.84035,0.67688,0.74622,0.59292,1.0683,0.006436,0.006436,0.006436
38,247.098,0.6933,0.50912,1.04265,0.79167,0.81088,0.88245,0.68375,0.72583,0.60875,1.04941,0.006337,0.006337,0.006337
39,254.217,0.66628,0.49602,1.0212,0.78921,0.85432,0.8682,0.64889,0.74273,0.64877,1.05682,0.006238,0.006238,0.006238
40,260.018,0.67507,0.47198,1.03591,0.80187,0.84555,0.88133,0.68082,0.73329,0.621,1.04774,0.006139,0.006139,0.006139
41,267.16,0.67904,0.49723,1.02991,0.91282,0.69066,0.79469,0.66417,0.72206,0.68498,1.04778,0.00604,0.00604,0.00604
42,273.23,0.6727,0.47409,1.02052,0.77531,0.80292,0.8443,0.69542,0.71923,0.59084,1.04956,0.005941,0.005941,0.005941
43,279.244,0.65503,0.47405,1.0126,0.76909,0.80704,0.84595,0.68113,0.75204,0.67013,1.06684,0.005842,0.005842,0.005842
44,286.159,0.62047,0.46263,0.99815,0.80243,0.88112,0.92434,0.73793,0.69807,0.53918,1.02869,0.005743,0.005743,0.005743
45,293.593,0.62348,0.45575,0.99001,0.75335,0.87156,0.87074,0.6985,0.69374,0.57584,1.03459,0.005644,0.005644,0.005644
46,299.194,0.65737,0.45494,1.02177,0.73659,0.76374,0.83782,0.68872,0.67781,0.56966,1.00956,0.005545,0.005545,0.005545
47,306.118,0.63073,0.44291,0.99289,0.86758,0.78577,0.85687,0.72688,0.66465,0.59442,1.00453,0.005446,0.005446,0.005446
48,312.575,0.63948,0.45074,1.01508,0.79822,0.82369,0.87672,0.72754,0.65254,0.55618,1.00573,0.005347,0.005347,0.005347
49,319.042,0.63783,0.43377,1.00557,0.87167,0.85082,0.93174,0.74503,0.69329,0.52065,1.0237,0.005248,0.005248,0.005248
50,325.429,0.62271,0.44559,0.9816,0.72501,0.88964,0.90022,0.73608,0.69462,0.50969,1.02574,0.005149,0.005149,0.005149
51,331.777,0.59389,0.42653,0.99718,0.70971,0.88326,0.9009,0.71527,0.70666,0.56085,1.04511,0.00505,0.00505,0.00505
52,338.359,0.60638,0.4341,0.99022,0.7879,0.86255,0.90742,0.73725,0.69495,0.57236,1.03182,0.004951,0.004951,0.004951
53,344.979,0.60778,0.43271,0.9902,0.85506,0.80672,0.8677,0.70219,0.68302,0.63536,1.01473,0.004852,0.004852,0.004852
54,351.157,0.58322,0.42299,0.98192,0.74119,0.86602,0.85159,0.69476,0.68488,0.58554,1.0224,0.004753,0.004753,0.004753
55,357.933,0.5786,0.40428,0.97799,0.79119,0.87798,0.88969,0.733,0.68954,0.52704,1.03414,0.004654,0.004654,0.004654
56,363.833,0.60749,0.42506,0.99732,0.77704,0.80896,0.86136,0.70479,0.67806,0.50956,1.01557,0.004555,0.004555,0.004555
57,371.062,0.58807,0.41505,0.97675,0.80335,0.84994,0.90087,0.73059,0.66975,0.49797,1.0151,0.004456,0.004456,0.004456
58,377.181,0.57681,0.40412,0.98654,0.8301,0.86528,0.91647,0.74195,0.68403,0.49898,1.02922,0.004357,0.004357,0.004357
59,382.985,0.58559,0.40747,0.97818,0.82653,0.8854,0.92159,0.7454,0.67749,0.50123,1.03503,0.004258,0.004258,0.004258
60,390.499,0.57698,0.40086,0.98178,0.90723,0.85501,0.91084,0.75589,0.62533,0.50518,0.99575,0.004159,0.004159,0.004159
61,396.918,0.55194,0.38554,0.96631,0.90592,0.79261,0.89923,0.74572,0.65549,0.54788,1.01698,0.00406,0.00406,0.00406
62,402.124,0.54234,0.39301,0.95871,0.87602,0.82614,0.87536,0.7161,0.65884,0.53277,1.01629,0.003961,0.003961,0.003961
63,409.634,0.57256,0.39867,0.97874,0.84726,0.83448,0.89468,0.72039,0.65652,0.52661,1.01813,0.003862,0.003862,0.003862
64,415.542,0.53726,0.38593,0.95784,0.78464,0.8726,0.90572,0.74312,0.67582,0.51419,1.02308,0.003763,0.003763,0.003763
65,422.507,0.54943,0.37743,0.95877,0.91798,0.81951,0.92647,0.74748,0.66771,0.4715,1.02499,0.003664,0.003664,0.003664
66,429.049,0.55323,0.38263,0.9712,0.90849,0.82464,0.92093,0.75682,0.66724,0.47947,1.01907,0.003565,0.003565,0.003565
67,434.823,0.53366,0.36561,0.95369,0.926,0.84818,0.92616,0.76944,0.65205,0.45309,1.00366,0.003466,0.003466,0.003466
68,441.407,0.52406,0.37124,0.95306,0.91712,0.86415,0.91961,0.75593,0.65203,0.50299,1.01426,0.003367,0.003367,0.003367
69,447.852,0.52543,0.36818,0.94977,0.89408,0.83601,0.9017,0.74195,0.65742,0.53782,1.02616,0.003268,0.003268,0.003268
70,454.396,0.54184,0.3773,0.96168,0.83546,0.85145,0.8959,0.73869,0.65023,0.50315,1.02168,0.003169,0.003169,0.003169
71,460.66,0.516,0.35869,0.95222,0.86181,0.8576,0.91412,0.73521,0.65141,0.46651,1.03035,0.00307,0.00307,0.00307
72,467.97,0.52153,0.36356,0.95275,0.91822,0.86127,0.90677,0.7493,0.64037,0.46715,1.0123,0.002971,0.002971,0.002971
73,473.336,0.51868,0.3533,0.96308,0.87678,0.85873,0.91455,0.75137,0.63715,0.44664,1.00779,0.002872,0.002872,0.002872
74,479.766,0.50832,0.34177,0.94108,0.84823,0.8425,0.91306,0.74938,0.64295,0.4548,1.01779,0.002773,0.002773,0.002773
75,486.697,0.53038,0.35526,0.96478,0.88246,0.83067,0.91159,0.76399,0.64024,0.4705,1.01002,0.002674,0.002674,0.002674
76,493.13,0.49053,0.34429,0.93948,0.83357,0.84745,0.90281,0.75602,0.63001,0.489,1.00747,0.002575,0.002575,0.002575
77,499.34,0.49659,0.34554,0.94126,0.81976,0.85646,0.91029,0.76603,0.62901,0.47706,1.01008,0.002476,0.002476,0.002476
78,505.867,0.49252,0.34841,0.93591,0.91501,0.84916,0.92256,0.77641,0.63877,0.47352,1.00741,0.002377,0.002377,0.002377
79,512.139,0.50081,0.33717,0.94556,0.88891,0.83302,0.90269,0.76717,0.63298,0.47743,1.01558,0.002278,0.002278,0.002278
80,518.044,0.49328,0.33916,0.93646,0.88896,0.80372,0.89322,0.77299,0.6156,0.49912,1.0102,0.002179,0.002179,0.002179
