epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,633.847,0.8198,0.97622,1.02069,0.42348,0.26384,0.27523,0.22822,0.98081,2.11781,1.11315,0.005743,0.005743,0.005743
45,648.183,0.81147,0.94824,1.01494,0.51594,0.27701,0.29689,0.24069,0.96543,2.04561,1.09049,0.005644,0.005644,0.005644
46,662.044,0.80236,0.94047,1.01332,0.63353,0.24413,0.28099,0.23004,0.95661,2.04556,1.09726,0.005545,0.005545,0.005545
47,675.802,0.79372,0.91806,1.00234,0.49118,0.27983,0.29249,0.24063,0.95705,2.06228,1.10669,0.005446,0.005446,0.005446
48,689.88,0.77921,0.89913,1.00493,0.52665,0.25494,0.29424,0.23897,0.94603,2.0463,1.09059,0.005347,0.005347,0.005347
49,703.669,0.79073,0.89334,1.00727,0.44095,0.28778,0.28812,0.233,0.95828,2.09368,1.10129,0.005248,0.005248,0.005248
50,719.205,0.76441,0.86188,0.9959,0.40677,0.28299,0.28868,0.24059,0.94198,2.08646,1.07956,0.005149,0.005149,0.005149
51,734.464,0.7614,0.85017,0.99329,0.5038,0.28396,0.28724,0.2345,0.93882,2.09532,1.09013,0.00505,0.00505,0.00505
52,748.935,0.77309,0.83777,0.99756,0.58488,0.2668,0.28186,0.2322,0.92527,2.1188,1.07933,0.004951,0.004951,0.004951
53,762.918,0.76203,0.81087,0.98514,0.61558,0.27281,0.2927,0.23727,0.93858,2.03778,1.08353,0.004852,0.004852,0.004852
54,776.829,0.75147,0.80445,0.98645,0.56384,0.26008,0.28768,0.23781,0.93588,2.12959,1.07744,0.004753,0.004753,0.004753
55,791.564,0.7377,0.78751,0.9802,0.43714,0.30151,0.28305,0.23622,0.93606,2.12435,1.0824,0.004654,0.004654,0.004654
56,806.447,0.75205,0.80001,0.98799,0.55078,0.25848,0.28505,0.23778,0.92331,2.12049,1.08081,0.004555,0.004555,0.004555
57,820.834,0.71724,0.75459,0.9647,0.36575,0.31534,0.29483,0.24289,0.93506,2.06528,1.0803,0.004456,0.004456,0.004456
58,835.34,0.7181,0.75158,0.97493,0.58428,0.27146,0.28985,0.2466,0.90698,2.07436,1.06701,0.004357,0.004357,0.004357
59,849.535,0.70985,0.72616,0.97219,0.43389,0.28228,0.27881,0.23206,0.94173,2.14382,1.09053,0.004258,0.004258,0.004258
60,863.563,0.73264,0.73691,0.97572,0.49533,0.27053,0.2868,0.23712,0.92568,2.1746,1.09715,0.004159,0.004159,0.004159
61,877.798,0.70224,0.68562,0.96291,0.59091,0.27556,0.29461,0.24589,0.95045,2.15345,1.10103,0.00406,0.00406,0.00406
62,891.92,0.71192,0.70486,0.96401,0.42555,0.30001,0.28369,0.23595,0.92653,2.15001,1.08991,0.003961,0.003961,0.003961
63,906.425,0.68151,0.66947,0.95235,0.47201,0.30647,0.29053,0.23812,0.92006,2.14221,1.08926,0.003862,0.003862,0.003862
64,920.326,0.69125,0.66852,0.96467,0.52602,0.26947,0.2912,0.24314,0.92122,2.16782,1.09566,0.003763,0.003763,0.003763
65,934.023,0.6855,0.67389,0.95395,0.56753,0.26926,0.29839,0.23792,0.92031,2.05888,1.09691,0.003664,0.003664,0.003664
66,948.512,0.69651,0.66215,0.95961,0.49087,0.28366,0.30475,0.25132,0.90293,2.1574,1.07772,0.003565,0.003565,0.003565
67,963.223,0.67581,0.63959,0.95988,0.42434,0.30036,0.29615,0.24701,0.91438,2.14498,1.08889,0.003466,0.003466,0.003466
68,977.847,0.67441,0.63984,0.95825,0.51083,0.29763,0.31469,0.2631,0.91032,2.05031,1.0844,0.003367,0.003367,0.003367
69,992.252,0.65014,0.6127,0.94531,0.44931,0.30078,0.30031,0.24479,0.92698,2.11082,1.09279,0.003268,0.003268,0.003268
70,1005.79,0.66782,0.61607,0.94895,0.558,0.27181,0.30143,0.25135,0.91694,2.15352,1.08581,0.003169,0.003169,0.003169
71,1019.54,0.65657,0.58648,0.93616,0.64921,0.26862,0.31456,0.26043,0.90999,2.09734,1.08168,0.00307,0.00307,0.00307
72,1033.45,0.64012,0.59545,0.94132,0.52905,0.28406,0.30796,0.25588,0.91148,2.13747,1.08176,0.002971,0.002971,0.002971
73,1047.71,0.64896,0.57892,0.94207,0.53751,0.27851,0.30777,0.25076,0.9071,2.13733,1.07402,0.002872,0.002872,0.002872
74,1061.51,0.6415,0.57064,0.931,0.42765,0.31608,0.30667,0.24764,0.9199,2.13756,1.08894,0.002773,0.002773,0.002773
75,1076.46,0.62823,0.56023,0.9363,0.4795,0.27604,0.29284,0.2408,0.91175,2.16927,1.07184,0.002674,0.002674,0.002674
76,1090.93,0.63391,0.57293,0.93552,0.44637,0.31087,0.30725,0.25356,0.89932,2.10569,1.06834,0.002575,0.002575,0.002575
77,1106.42,0.62892,0.55388,0.93179,0.63639,0.2761,0.30749,0.25322,0.91015,2.07747,1.07768,0.002476,0.002476,0.002476
78,1121.94,0.63383,0.54717,0.92834,0.60526,0.27963,0.3046,0.25085,0.91518,2.09139,1.0831,0.002377,0.002377,0.002377
79,1136.47,0.60751,0.53275,0.93258,0.47039,0.31338,0.3107,0.26129,0.90058,2.09499,1.07361,0.002278,0.002278,0.002278
80,1151.77,0.60119,0.52681,0.92719,0.39634,0.30551,0.2906,0.24185,0.89063,2.14439,1.0692,0.002179,0.002179,0.002179
81,1165.36,0.58809,0.51509,0.91781,0.52482,0.27952,0.31017,0.25965,0.89107,2.1443,1.07303,0.00208,0.00208,0.00208
82,1179.15,0.60202,0.51469,0.92879,0.58364,0.28977,0.31427,0.25909,0.8929,2.07042,1.07238,0.001981,0.001981,0.001981
83,1193.07,0.59038,0.50327,0.92131,0.4488,0.32883,0.318,0.26097,0.89935,2.14261,1.08181,0.001882,0.001882,0.001882
84,1207.82,0.59946,0.50378,0.92397,0.54841,0.3032,0.32462,0.26978,0.88423,2.0834,1.06729,0.001783,0.001783,0.001783
85,1222.61,0.58494,0.49706,0.92187,0.57277,0.2922,0.32792,0.27134,0.8744,2.12549,1.06145,0.001684,0.001684,0.001684
86,1237.97,0.58482,0.49206,0.92099,0.61965,0.28357,0.31106,0.25897,0.88658,2.17254,1.05868,0.001585,0.001585,0.001585
87,1251.79,0.55886,0.47004,0.90307,0.63856,0.28127,0.3179,0.26237,0.88227,2.12687,1.07003,0.001486,0.001486,0.001486
88,1266.24,0.56804,0.46994,0.90565,0.62079,0.28716,0.32617,0.27118,0.87717,2.10098,1.06641,0.001387,0.001387,0.001387
89,1279.99,0.57189,0.4761,0.91281,0.54917,0.29171,0.32887,0.27612,0.86391,2.09906,1.06081,0.001288,0.001288,0.001288
90,1293.68,0.57245,0.4851,0.91985,0.61264,0.28795,0.32846,0.2752,0.86299,2.10717,1.05178,0.001189,0.001189,0.001189
91,1311.51,0.49452,0.40849,0.85123,0.6486,0.26311,0.30718,0.25968,0.88747,2.18632,1.07458,0.00109,0.00109,0.00109
92,1326.16,0.47261,0.37619,0.84548,0.64664,0.26983,0.3201,0.26981,0.87545,2.15791,1.05788,0.000991,0.000991,0.000991
93,1340.96,0.47109,0.3724,0.84212,0.44318,0.3147,0.32166,0.2704,0.88615,2.14772,1.06924,0.000892,0.000892,0.000892
94,1355.78,0.46638,0.35845,0.84133,0.58992,0.27695,0.32219,0.27076,0.88066,2.14872,1.06925,0.000793,0.000793,0.000793
95,1370.69,0.46318,0.35084,0.83645,0.57463,0.29329,0.32196,0.27142,0.87066,2.18472,1.06802,0.000694,0.000694,0.000694
96,1385.25,0.45712,0.353,0.83204,0.41497,0.3226,0.31986,0.2708,0.87834,2.18498,1.06428,0.000595,0.000595,0.000595
97,1399.6,0.45209,0.3485,0.84449,0.64068,0.26869,0.3161,0.26858,0.87208,2.17618,1.06958,0.000496,0.000496,0.000496
98,1414.31,0.4424,0.34236,0.84104,0.53275,0.28622,0.31885,0.26967,0.8682,2.16017,1.06659,0.000397,0.000397,0.000397
99,1429.22,0.45129,0.34728,0.83592,0.61539,0.27069,0.31688,0.26733,0.86529,2.16781,1.06294,0.000298,0.000298,0.000298
100,1443.5,0.44024,0.32817,0.83324,0.62569,0.27573,0.32197,0.27058,0.86188,2.15818,1.06657,0.000199,0.000199,0.000199
