epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,321.584,1.02307,1.47828,1.40241,0.45806,0.59481,0.59406,0.44533,0.97343,1.55683,1.38091,0.005743,0.005743,0.005743
45,328.318,0.99064,1.4207,1.34713,0.59254,0.48807,0.55211,0.42482,0.9661,1.5389,1.37271,0.005644,0.005644,0.005644
46,334.334,1.04683,1.47524,1.40387,0.50394,0.60788,0.60091,0.46307,0.95245,1.53613,1.3597,0.005545,0.005545,0.005545
47,340.91,1.01935,1.44904,1.38245,0.58319,0.49234,0.59445,0.45121,0.9526,1.56229,1.35385,0.005446,0.005446,0.005446
48,347.27,1.02142,1.43566,1.38981,0.50253,0.59669,0.59118,0.43716,0.97953,1.65037,1.36857,0.005347,0.005347,0.005347
49,354.967,1.05516,1.42025,1.41253,0.61405,0.57749,0.63076,0.48378,0.94719,1.46897,1.36726,0.005248,0.005248,0.005248
50,360.994,1.03077,1.41482,1.36147,0.52145,0.42136,0.52168,0.38717,1.01509,1.67668,1.42145,0.005149,0.005149,0.005149
51,367.683,1.04226,1.3972,1.42728,0.45161,0.68146,0.59416,0.4488,0.98825,1.49243,1.37324,0.00505,0.00505,0.00505
52,374.512,1.02466,1.41052,1.39007,0.69025,0.49254,0.57442,0.42967,0.94801,1.52399,1.35341,0.004951,0.004951,0.004951
53,381.428,1.0253,1.39929,1.39047,0.45717,0.65982,0.5903,0.45739,0.94072,1.45499,1.34009,0.004852,0.004852,0.004852
54,387.64,1.00079,1.35222,1.37924,0.55911,0.62529,0.64934,0.50047,0.92834,1.42705,1.33448,0.004753,0.004753,0.004753
55,394.622,0.99639,1.33079,1.37642,0.46616,0.67991,0.60265,0.45635,0.93741,1.53558,1.34873,0.004654,0.004654,0.004654
56,400.548,1.06349,1.41004,1.43326,0.7232,0.54708,0.6454,0.50621,0.93224,1.42701,1.34043,0.004555,0.004555,0.004555
57,408.075,1.00015,1.32983,1.37278,0.51046,0.56811,0.60727,0.47891,0.94866,1.50355,1.35587,0.004456,0.004456,0.004456
58,414.286,1.01848,1.39822,1.39806,0.56293,0.60569,0.64316,0.49158,0.94433,1.42632,1.34862,0.004357,0.004357,0.004357
59,420.432,1.02679,1.33757,1.38267,0.54826,0.54295,0.54657,0.40808,0.94252,1.50927,1.34882,0.004258,0.004258,0.004258
60,427.523,1.02205,1.31808,1.37962,0.49232,0.62944,0.62888,0.48197,0.94192,1.48496,1.34265,0.004159,0.004159,0.004159
61,434.237,0.97396,1.28914,1.36088,0.502,0.64584,0.62621,0.48223,0.95297,1.52349,1.36427,0.00406,0.00406,0.00406
62,440.568,0.99513,1.31542,1.36019,0.56097,0.61135,0.63056,0.479,0.95243,1.60348,1.34552,0.003961,0.003961,0.003961
63,447.593,1.01,1.36126,1.37886,0.65366,0.52368,0.63394,0.48354,0.93366,1.4165,1.32754,0.003862,0.003862,0.003862
64,453.4,0.97696,1.27541,1.3602,0.61769,0.53245,0.64025,0.48297,0.92077,1.402,1.33187,0.003763,0.003763,0.003763
65,459.715,1.00221,1.34075,1.39247,0.54932,0.63497,0.60738,0.46283,0.94218,1.42356,1.33863,0.003664,0.003664,0.003664
66,466.238,1.0105,1.28432,1.38617,0.4994,0.71097,0.61911,0.47002,0.92838,1.41401,1.32994,0.003565,0.003565,0.003565
67,472.976,0.97474,1.27353,1.34729,0.53172,0.54687,0.58041,0.44613,0.9326,1.40652,1.33292,0.003466,0.003466,0.003466
68,479.815,0.97641,1.2545,1.35534,0.51234,0.65822,0.60973,0.45818,0.96512,1.5488,1.35673,0.003367,0.003367,0.003367
69,485.269,1.00805,1.29695,1.36924,0.50832,0.68169,0.66992,0.52148,0.92647,1.39214,1.33705,0.003268,0.003268,0.003268
70,492.814,0.99706,1.278,1.34582,0.48614,0.68101,0.66686,0.53024,0.9433,1.36512,1.34265,0.003169,0.003169,0.003169
71,498.849,0.97876,1.25731,1.33983,0.47622,0.66828,0.62239,0.47208,0.95145,1.46073,1.35387,0.00307,0.00307,0.00307
72,505.561,0.9698,1.24992,1.33146,0.56542,0.60968,0.68256,0.51402,0.93879,1.33923,1.34128,0.002971,0.002971,0.002971
73,511.813,0.98541,1.23699,1.36795,0.47022,0.67603,0.63994,0.48552,0.93852,1.4919,1.34434,0.002872,0.002872,0.002872
