epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,412.276,0.82481,1.04703,0.98658,0.30853,0.20987,0.18082,0.15206,1.13575,3.01839,1.13727,0.005743,0.005743,0.005743
45,421.741,0.81463,1.05998,0.98885,0.29883,0.23903,0.18591,0.15267,1.0588,3.03231,1.11777,0.005644,0.005644,0.005644
46,431.039,0.80137,1.0018,0.98325,0.24736,0.22476,0.17098,0.14664,1.05238,2.93609,1.1432,0.005545,0.005545,0.005545
47,440.16,0.80593,0.98093,0.97309,0.39459,0.17559,0.15553,0.13206,1.07101,3.02981,1.13436,0.005446,0.005446,0.005446
48,449.819,0.79439,0.97184,0.97075,0.36478,0.18268,0.15556,0.12787,1.04589,3.08627,1.1018,0.005347,0.005347,0.005347
49,458.987,0.80178,0.95232,0.97673,0.3597,0.17557,0.14868,0.11914,1.0905,2.91476,1.12276,0.005248,0.005248,0.005248
50,468.027,0.79637,0.9285,0.97981,0.3829,0.19151,0.1666,0.13581,1.03802,3.19538,1.12269,0.005149,0.005149,0.005149
51,477.036,0.78942,0.9221,0.9765,0.239,0.19501,0.1608,0.13219,1.06642,3.18183,1.13099,0.00505,0.00505,0.00505
52,486.07,0.77962,0.90764,0.97249,0.33657,0.22509,0.18271,0.15119,1.10016,3.23368,1.12782,0.004951,0.004951,0.004951
53,495.108,0.73202,0.83305,0.95767,0.48916,0.18073,0.18168,0.15001,1.05493,3.07444,1.13161,0.004852,0.004852,0.004852
54,504.295,0.7598,0.86144,0.96255,0.33169,0.2068,0.1748,0.14304,1.14212,3.03228,1.14598,0.004753,0.004753,0.004753
55,513.362,0.74972,0.82863,0.95656,0.27454,0.16373,0.13579,0.11314,1.06981,2.97064,1.14854,0.004654,0.004654,0.004654
56,522.502,0.73517,0.80005,0.94478,0.34225,0.20172,0.16962,0.14424,1.06727,3.22672,1.11675,0.004555,0.004555,0.004555
57,531.561,0.73793,0.81226,0.95789,0.29166,0.23899,0.18032,0.15348,1.04231,3.03639,1.11752,0.004456,0.004456,0.004456
58,540.878,0.73708,0.77198,0.93594,0.2628,0.21832,0.1652,0.13985,1.02364,3.2661,1.0978,0.004357,0.004357,0.004357
59,549.994,0.74036,0.78138,0.95705,0.50577,0.18021,0.16842,0.1428,1.04074,2.84352,1.1183,0.004258,0.004258,0.004258
